# ----------------------------------------,Unnamed: 1,Unnamed: 2,Unnamed: 3,Unnamed: 4,Unnamed: 5,Unnamed: 6,Unnamed: 7,Unnamed: 8
# Pages and screens: Page path and screen class,,,,,,,,
# Account: seo,,,,,,,,
# Property: HBNO.com,,,,,,,,
# ----------------------------------------,,,,,,,,
#,,,,,,,,
# All Users,,,,,,,,
# Start date: 20250201,,,,,,,,
# End date: 20251022,,,,,,,,
Page path and screen class,Views,Active users,Views per active user,Average engagement time per active user,Bounce rate,Event count,Key events,Total revenue
/blogs/news/peppermint-and-tea-tree-oil-for-hair-growth-natural-hair-care,39,22,1.77272727272727,58.2272727272727,0.137931034482758,111,0,0
/collections/essential-oils/products/rosemary-organic,39,32,1.21875,41.71875,0.0833333333333333,127,0,0
/collections/fragrance/products/frankincense-fragrance,39,28,1.39285714285714,43.9642857142857,0.0967741935483871,125,0,0
/products/fenugreek-oil,39,32,1.21875,1.125,0.828571428571428,135,0,0
/products/frankincense-mct-organic,39,28,1.39285714285714,34.5,0.222222222222222,125,0,0
/products/sandalwood-organic,39,29,1.34482758620689,2.51724137931034,0.733333333333333,123,0,0
/blogs/news/best-cinnamon-oil-for-pine-cones-candy-and-more,38,19,2,42.578947368421,0.5,106,0,0
/blogs/news/fir-needle-oil-benefits-for-skin-hair-and-overall-health,38,33,1.15151515151515,39.4545454545454,0.405405405405405,135,0,0
/blogs/news/is-orange-essential-oil-safe-for-cats-what-you-need-to-know,38,30,1.26666666666666,35.4666666666666,0.542857142857142,128,0,0
/blogs/news/jojoba-and-peppermint-oil-uses-grooming-tips,38,27,1.4074074074074,51.4444444444444,0.470588235294117,111,0,0
/collections/essential-oils/products/eucalyptus-globulus,38,36,1.05555555555555,19.8611111111111,0.054054054054054,132,0,0
/collections/essential-oils/products/lemongrass-essential-oil,38,24,1.58333333333333,20.7083333333333,0.2,103,0,0
/collections/essential-oils/products/sweet-orange,38,22,1.72727272727272,32.0454545454545,0.310344827586206,107,0,0
/collections/sale/products/lavender-dutch-oil,38,20,1.9,87.9,0.0909090909090909,108,0,0
/blogs/news/breathe-easy-essential-oil-ingredients-and-simple-recipe,37,33,1.12121212121212,64.4545454545454,0.257142857142857,134,0,0
/blogs/news/coconut-oil-vs-olive-oil-choosing-the-right-option,37,33,1.12121212121212,19.6666666666666,0.485714285714285,119,0,0
/collections/essential-oils/products/tea-tree,37,22,1.68181818181818,17.9090909090909,0.208333333333333,123,0,0
/blogs/news/benefits-of-bergamot-essential-oil-for-health-hair-skin,36,33,1.09090909090909,22.5151515151515,0.742857142857142,111,0,0
/blogs/news/cinnamon-extract-vs-cinnamon-oil-key-differences-and-uses,36,37,0.972972972972973,42.054054054054,0.447368421052631,144,0,0
